fileName,countRef,countCdx
nlmenu.en/images/lijntje2.gif,0,0
nlmenu.en/images/lijntje3.gif,0,0
nlmenu.en/images/lijntje.gif,0,0
nlmenu.en/images/logo.gif,0,0
nlmenu.en/images/logo_homepage1-new.gif,0,0
nlmenu.en/images/logohomepage2-new.gif,0,0
nlmenu.en/images/logohomepage.gif,0,0
nlmenu.en/images/logo_nl-menu2.gif,0,0
nlmenu.en/images/logo_nl-menu.gif,0,0
nlmenu.en/images/logo_nl-menu-test.gif,0,0
nlmenu.en/images/maillist1.gif,0,0
nlmenu.en/images/maillist2.gif,0,0
nlmenu.en/images/media2.gif,0,0
nlmenu.en/images/menu_anderewijzers.gif,0,0
nlmenu.en/images/menu_automatisering.gif,0,0
nlmenu.en/images/menu_bedrijfsleven.gif,0,0
nlmenu.en/images/menu_docu.gif,0,0
nlmenu.en/images/menu_gezondheid.gif,0,0
nlmenu.en/images/menu_kunst.gif,0,0
nlmenu.en/images/menu_nieuws.gif,0,0
nlmenu.en/images/menu_onderwijs.gif,0,0
nlmenu.en/images/menu_onderzoek.gif,0,0
nlmenu.en/images/menu_overheid.gif,0,0
nlmenu.en/images/menu_politiek.gif,0,0
nlmenu.en/images/menu_religie.gif,0,0
nlmenu.en/images/menu_vrijetijd.gif,0,0
nlmenu.en/images/menu_wetenschap.gif,0,0
nlmenu.en/images/mriek2.psd,0,0
nlmenu.en/images/mriek.psd,0,0
nlmenu.en/images/nieuwerubrieken.gif,0,0
nlmenu.en/images/nieuwinrubriek.eng.gif,0,0
nlmenu.en/images/nieuwinrubriek.gif,0,0
nlmenu.en/images/nl-new-nl.gif,0,0
nlmenu.en/images/onderwijs2.gif,0,0
nlmenu.en/images/onderzoek2.gif,0,0
nlmenu.en/images/overheid2.gif,0,0
nlmenu.en/images/pijlbeneden.gif,0,0
nlmenu.en/images/pijlrechts.gif,0,0
nlmenu.en/images/polsam2.gif,0,0
nlmenu.en/images/rechtermenu.gif,0,0
nlmenu.en/images/recreatie2.gif,0,0
nlmenu.en/images/registratieknop.gif,0,0
nlmenu.en/images/religie2.gif,0,0
nlmenu.en/images/rubriekensitesplaatsen.gif,0,0
nlmenu.en/images/streepje.gif,0,0
nlmenu.en/images/surfnetlogo2.gif,0,0
nlmenu.en/images/surfnetlogo3.gif,0,0
nlmenu.en/images/surfnetlogo.gif,0,0
nlmenu.en/images/thumb1_224.gif,0,0
nlmenu.en/images/thumb1_226.gif,0,0
nlmenu.en/images/thumb1_227.gif,0,0
nlmenu.en/images/thumb1_228.gif,0,0
nlmenu.en/images/thumb1_232.gif,0,0
nlmenu.en/images/thumb1_233.gif,0,0
nlmenu.en/images/thumb1_236.gif,0,0
nlmenu.en/images/thumb1_237.gif,0,0
